numero_franquicia	shift	folio	check_number	fecha	cierre	personas	mesero_id	paid	cancelado	items	total	cash	tarjeta	tip	descuento	subtotal	subtotal_desc	tax	total_descuentos	cortesias	alimentos	bebidas	notas
CA-CUN-001	3	1	3001	2024-01-22T19:28:00	2024-01-22T20:18:00	1	1031	1	0	10	$824.74	$824.74	$0.00	$98.97	$0.00	$710.98	$710.98	$113.76	$0.00	$0.00	$560.82	$263.92	
CA-CUN-001	2	2	3002	2024-01-22T16:53:00	2024-01-22T17:15:00	5	1032	1	0	12	$1,168.09	$1,168.09	$0.00	$186.89	$0.00	$1,006.97	$1,006.97	$161.12	$0.00	$0.00	$770.94	$397.15	
CA-CUN-001	2	3	3003	2024-01-22T14:18:00	2024-01-22T16:27:00	2	1032	1	0	2	$913.28	$0.00	$913.28	$182.66	$0.00	$787.31	$787.31	$125.97	$0.00	$0.00	$547.97	$365.31	
CA-CUN-001	1	4	3004	2024-01-22T10:25:00	2024-01-22T11:34:00	1	1032	1	0	7	$1,168.87	$1,168.87	$0.00	$151.95	$81.82	$1,007.65	$925.83	$161.22	$81.82	$0.00	$748.08	$420.79	
CA-CUN-001	1	5	3005	2024-01-22T08:52:00	2024-01-22T10:23:00	1	1032	1	0	12	$989.52	$0.00	$989.52	$138.53	$0.00	$853.03	$853.03	$136.49	$0.00	$0.00	$672.87	$316.65	
CA-CUN-001	1	6	3006	2024-01-22T09:09:00	2024-01-22T11:29:00	6	1031	1	0	12	$1,004.12	$1,004.12	$0.00	$130.54	$0.00	$865.62	$865.62	$138.50	$0.00	$0.00	$773.17	$230.95	
CA-CUN-001	1	7	3007	2024-01-22T09:57:00	2024-01-22T10:30:00	3	1032	1	0	6	$1,138.10	$0.00	$1,138.10	$170.71	$0.00	$981.12	$981.12	$156.98	$0.00	$0.00	$853.58	$284.52	
CA-CUN-001	1	8	3008	2024-01-22T08:20:00	2024-01-22T10:14:00	4	1032	1	0	5	$793.40	$0.00	$793.40	$79.34	$0.00	$683.97	$683.97	$109.43	$0.00	$0.00	$539.51	$253.89	
CA-CUN-001	2	9	3009	2024-01-22T16:18:00	2024-01-22T18:16:00	5	1032	1	0	4	$962.82	$962.82	$0.00	$144.42	$0.00	$830.02	$830.02	$132.80	$0.00	$0.00	$760.63	$202.19	
CA-CUN-001	2	10	3010	2024-01-22T16:10:00	2024-01-22T18:25:00	5	1031	1	0	12	$1,148.48	$0.00	$1,148.48	$172.27	$0.00	$990.07	$990.07	$158.41	$0.00	$0.00	$712.06	$436.42	
CA-CUN-001	2	11	3011	2024-01-22T14:28:00	2024-01-22T15:12:00	2	1031	1	0	8	$1,106.32	$1,106.32	$0.00	$99.57	$0.00	$953.72	$953.72	$152.60	$0.00	$110.63	$785.49	$320.83	
CA-CUN-001	2	12	3012	2024-01-22T13:39:00	2024-01-22T14:22:00	2	1032	1	0	11	$493.08	$0.00	$493.08	$93.69	$0.00	$425.07	$425.07	$68.01	$0.00	$0.00	$374.74	$118.34	
CA-CUN-001	1	13	3013	2024-01-22T11:55:00	2024-01-22T12:14:00	1	1031	1	0	3	$802.65	$802.65	$0.00	$152.50	$0.00	$691.94	$691.94	$110.71	$0.00	$0.00	$577.91	$224.74	
CA-CUN-001	2	14	3014	2024-01-22T13:15:00	2024-01-22T15:59:00	4	1031	1	0	2	$988.22	$988.22	$0.00	$98.82	$0.00	$851.91	$851.91	$136.31	$0.00	$0.00	$602.81	$385.41	
CA-CUN-001	1	15	3015	2024-01-22T08:51:00	2024-01-22T09:11:00	3	1032	1	0	7	$991.95	$991.95	$0.00	$119.03	$0.00	$855.13	$855.13	$136.82	$0.00	$0.00	$684.45	$307.50	
CA-CUN-001	1	16	3016	2024-01-22T11:27:00	2024-01-22T13:06:00	3	1031	1	0	11	$789.41	$789.41	$0.00	$86.84	$0.00	$680.53	$680.53	$108.88	$0.00	$0.00	$481.54	$307.87	
CA-CUN-001	3	17	3017	2024-01-22T19:05:00	2024-01-22T21:20:00	2	1031	1	0	4	$1,053.64	$1,053.64	$0.00	$168.58	$0.00	$908.31	$908.31	$145.33	$0.00	$0.00	$790.23	$263.41	
CA-CUN-001	2	18	3018	2024-01-22T16:40:00	2024-01-22T17:45:00	4	1031	1	0	2	$934.15	$0.00	$934.15	$177.49	$0.00	$805.30	$805.30	$128.85	$0.00	$0.00	$681.93	$252.22	
CA-CUN-001	2	19	3019	2024-01-22T16:37:00	2024-01-22T18:37:00	3	1032	1	0	6	$439.76	$439.76	$0.00	$43.98	$0.00	$379.10	$379.10	$60.66	$0.00	$0.00	$312.23	$127.53	
CA-CUN-001	1	20	3020	2024-01-22T10:08:00	2024-01-22T12:02:00	5	1032	1	0	6	$1,002.56	$0.00	$1,002.56	$130.33	$0.00	$864.28	$864.28	$138.28	$0.00	$0.00	$601.54	$401.02	
CA-CUN-001	2	21	3021	2024-01-22T16:32:00	2024-01-22T17:28:00	3	1031	1	0	4	$587.29	$0.00	$587.29	$64.60	$0.00	$506.28	$506.28	$81.01	$0.00	$0.00	$358.25	$229.04	
CA-CUN-001	2	22	3022	2024-01-22T13:04:00	2024-01-22T14:11:00	4	1032	1	0	4	$420.32	$0.00	$420.32	$42.03	$0.00	$362.34	$362.34	$57.98	$0.00	$0.00	$281.61	$138.71	
CA-CUN-001	3	23	3023	2024-01-22T22:22:00	2024-01-22T23:28:00	3	1032	1	0	12	$1,176.16	$0.00	$1,176.16	$199.95	$0.00	$1,013.93	$1,013.93	$162.23	$0.00	$0.00	$729.22	$446.94	
CA-CUN-001	1	24	3024	2024-01-22T11:40:00	2024-01-22T13:37:00	4	1032	0	1	11	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	
CA-CUN-001	1	25	3025	2024-01-22T11:35:00	2024-01-22T12:55:00	5	1032	1	0	10	$837.68	$0.00	$837.68	$92.14	$0.00	$722.14	$722.14	$115.54	$0.00	$0.00	$519.36	$318.32	
CA-CUN-001	1	26	3026	2024-01-22T11:33:00	2024-01-22T13:45:00	3	1032	1	0	7	$624.07	$624.07	$0.00	$81.13	$0.00	$537.99	$537.99	$86.08	$0.00	$0.00	$474.29	$149.78	
CA-CUN-001	1	27	3027	2024-01-22T11:52:00	2024-01-22T13:11:00	6	1032	1	0	10	$411.19	$0.00	$411.19	$57.57	$0.00	$354.47	$354.47	$56.72	$0.00	$0.00	$263.16	$148.03	
CA-CUN-001	1	28	3028	2024-01-22T10:47:00	2024-01-22T11:06:00	1	1032	1	0	10	$924.41	$0.00	$924.41	$194.13	$64.71	$796.91	$732.20	$127.50	$64.71	$0.00	$702.55	$221.86	
CA-CUN-001	3	29	3029	2024-01-22T20:35:00	2024-01-22T21:32:00	2	1032	1	0	6	$899.14	$0.00	$899.14	$107.90	$0.00	$775.12	$775.12	$124.02	$0.00	$0.00	$575.45	$323.69	
CA-CUN-001	3	30	3030	2024-01-22T19:21:00	2024-01-22T21:29:00	4	1031	1	0	3	$1,020.48	$0.00	$1,020.48	$91.84	$0.00	$879.72	$879.72	$140.76	$0.00	$0.00	$806.18	$214.30	
CA-CUN-001	3	31	3031	2024-01-22T22:35:00	2024-01-22T23:11:00	4	1032	1	0	9	$632.69	$632.69	$0.00	$107.56	$0.00	$545.42	$545.42	$87.27	$0.00	$0.00	$449.21	$183.48	
CA-CUN-001	2	32	3032	2024-01-22T13:02:00	2024-01-22T14:36:00	6	1031	1	0	10	$604.21	$0.00	$604.21	$126.88	$0.00	$520.87	$520.87	$83.34	$0.00	$0.00	$398.78	$205.43	
CA-CUN-001	3	33	3033	2024-01-22T19:48:00	2024-01-22T21:27:00	1	1032	1	0	6	$529.39	$0.00	$529.39	$100.58	$68.82	$456.37	$387.55	$73.02	$68.82	$0.00	$359.99	$169.40	
CA-CUN-001	1	34	3034	2024-01-22T08:20:00	2024-01-22T10:20:00	4	1032	1	0	11	$1,136.27	$0.00	$1,136.27	$159.08	$0.00	$979.54	$979.54	$156.73	$0.00	$0.00	$829.48	$306.79	
CA-CUN-001	3	35	3035	2024-01-22T20:49:00	2024-01-22T22:52:00	4	1031	1	0	6	$492.56	$492.56	$0.00	$78.81	$0.00	$424.62	$424.62	$67.94	$0.00	$0.00	$379.27	$113.29	
CA-CUN-001	1	36	3036	2024-01-22T11:51:00	2024-01-22T13:11:00	3	1031	0	1	4	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	
CA-CUN-001	3	37	3037	2024-01-22T21:57:00	2024-01-22T23:09:00	1	1031	1	0	3	$711.30	$711.30	$0.00	$113.81	$0.00	$613.19	$613.19	$98.11	$0.00	$0.00	$505.02	$206.28	
