numero_franquicia	turno_id	folio	numero_cheque	fecha	cierre	numero_de_personas	mesero_id	pagado	cancelado	total_articulos	total	efectivo	tarjeta	propina	descuento	subtotal	subtotal_con_descuento	total_impuesto	total_descuentos	total_cortesias	total_alimentos	total_bebidas
FD-GDL-001	1	1	3001	2024-01-22T11:19:00	2024-01-22T13:41:00	6	1007	1	0	3	739.63	0	739.63	88.76	0	637.61	637.61	102.02	0	0	488.16	251.47
FD-GDL-001	3	2	3002	2024-01-22T19:08:00	2024-01-22T20:14:00	6	1007	1	0	4	714.01	0	714.01	85.68	99.96	615.53	515.57	98.48	99.96	0	492.67	221.34
FD-GDL-001	1	3	3003	2024-01-22T10:42:00	2024-01-22T11:41:00	1	1008	1	0	3	529.76	0	529.76	52.98	0	456.69	456.69	73.07	0	0	339.05	190.71
FD-GDL-001	3	4	3004	2024-01-22T19:15:00	2024-01-22T20:55:00	5	1008	1	0	8	427.35	0	427.35	34.19	0	368.41	368.41	58.94	0	0	299.15	128.2
FD-GDL-001	1	5	3005	2024-01-22T09:46:00	2024-01-22T11:44:00	1	1007	1	0	12	608.18	608.18	0	103.39	0	524.29	524.29	83.89	0	0	450.05	158.13
FD-GDL-001	3	6	3006	2024-01-22T22:14:00	2024-01-22T23:09:00	3	1007	1	0	7	487.49	487.49	0	58.5	0	420.25	420.25	67.24	0	0	355.87	131.62
FD-GDL-001	3	7	3007	2024-01-22T21:11:00	2024-01-22T23:25:00	1	1008	1	0	7	404.86	0	404.86	40.49	0	349.02	349.02	55.84	0	0	319.84	85.02
FD-GDL-001	3	8	3008	2024-01-22T20:43:00	2024-01-22T21:06:00	6	1008	1	0	6	382.76	0	382.76	42.1	0	329.97	329.97	52.79	0	0	233.48	149.28
FD-GDL-001	1	9	3009	2024-01-22T10:37:00	2024-01-22T11:01:00	2	1007	1	0	8	628.43	0	628.43	56.56	0	541.75	541.75	86.68	0	0	483.89	144.54
FD-GDL-001	2	10	3010	2024-01-22T13:31:00	2024-01-22T14:26:00	4	1007	1	0	7	527.56	0	527.56	84.41	0	454.79	454.79	72.77	0	0	374.57	152.99
FD-GDL-001	2	11	3011	2024-01-22T14:47:00	2024-01-22T15:49:00	5	1008	1	0	6	580.65	580.65	0	81.29	0	500.56	500.56	80.09	0	0	418.07	162.58
FD-GDL-001	2	12	3012	2024-01-22T14:21:00	2024-01-22T16:43:00	6	1007	1	0	2	671.12	0	671.12	67.11	0	578.55	578.55	92.57	0	0	402.67	268.45
