franchise_id	shift	folio_num	check_number	open_time	close_time	guests	server	paid	cancelled	items	total_amount	cash	credit_card	tip	discount	subtotal	subtotal_after_disc	tax	total_disc	comps	food_total	bev_total
RV-MTY-001	1	1	3001	2024-01-22T08:42:00	2024-01-22T09:19:00	6	1022	1	0	6	143.59	0	143.59	8.62	0	123.78	123.78	19.81	0	0	91.9	51.69
RV-MTY-001	2	2	3002	2024-01-22T13:59:00	2024-01-22T14:45:00	2	1022	1	0	9	282.1	282.1	0	11.28	0	243.19	243.19	38.91	0	0	174.9	107.2
RV-MTY-001	2	3	3003	2024-01-22T15:25:00	2024-01-22T16:07:00	2	1022	1	0	2	291.73	0	291.73	17.5	0	251.49	251.49	40.24	0	0	180.87	110.86
RV-MTY-001	3	4	3004	2024-01-22T19:57:00	2024-01-22T20:46:00	1	1021	1	0	10	315.28	315.28	0	15.76	0	271.79	271.79	43.49	0	31.53	217.54	97.74
RV-MTY-001	2	5	3005	2024-01-22T14:31:00	2024-01-22T16:20:00	6	1022	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
RV-MTY-001	3	6	3006	2024-01-22T20:35:00	2024-01-22T22:49:00	4	1022	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
RV-MTY-001	3	7	3007	2024-01-22T19:08:00	2024-01-22T21:27:00	2	1021	1	0	3	201.54	0	201.54	12.09	0	173.74	173.74	27.8	0	0	124.95	76.59
RV-MTY-001	3	8	3008	2024-01-22T22:07:00	2024-01-22T23:09:00	4	1021	1	0	10	183.65	0	183.65	7.35	14.69	158.32	143.63	25.33	14.69	0	135.9	47.75
RV-MTY-001	2	9	3009	2024-01-22T16:00:00	2024-01-22T18:16:00	4	1022	1	0	5	343	0	343	17.15	0	295.69	295.69	47.31	0	0	250.39	92.61
RV-MTY-001	3	10	3010	2024-01-22T19:55:00	2024-01-22T20:54:00	3	1021	1	0	4	154.75	0	154.75	9.29	0	133.41	133.41	21.34	0	0	117.61	37.14
RV-MTY-001	3	11	3011	2024-01-22T19:49:00	2024-01-22T20:07:00	3	1022	1	0	12	295.53	0	295.53	14.78	0	254.77	254.77	40.76	0	0	218.69	76.84
RV-MTY-001	1	12	3012	2024-01-22T10:55:00	2024-01-22T11:35:00	3	1021	1	0	2	311.3	0	311.3	9.34	0	268.36	268.36	42.94	0	0	211.68	99.62
RV-MTY-001	3	13	3013	2024-01-22T19:31:00	2024-01-22T20:43:00	2	1022	1	0	4	204.09	204.09	0	6.12	0	175.94	175.94	28.15	0	0	159.19	44.9
RV-MTY-001	2	14	3014	2024-01-22T14:51:00	2024-01-22T15:02:00	4	1021	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
RV-MTY-001	3	15	3015	2024-01-22T19:37:00	2024-01-22T21:53:00	2	1022	1	0	2	168.27	0	168.27	8.41	0	145.06	145.06	23.21	0	0	129.57	38.7
RV-MTY-001	2	16	3016	2024-01-22T15:20:00	2024-01-22T16:12:00	2	1022	1	0	5	328.59	0	328.59	13.14	0	283.27	283.27	45.32	0	0	203.73	124.86
RV-MTY-001	2	17	3017	2024-01-22T13:40:00	2024-01-22T15:30:00	6	1022	1	0	3	278.39	0	278.39	11.14	0	239.99	239.99	38.4	0	0	186.52	91.87
RV-MTY-001	3	18	3018	2024-01-22T19:30:00	2024-01-22T21:00:00	1	1022	1	0	10	262.57	262.57	0	7.88	0	226.35	226.35	36.22	0	0	173.3	89.27
RV-MTY-001	3	19	3019	2024-01-22T22:06:00	2024-01-22T23:27:00	2	1021	1	0	7	256.63	0	256.63	17.96	0	221.23	221.23	35.4	0	0	179.64	76.99
RV-MTY-001	1	20	3020	2024-01-22T08:25:00	2024-01-22T09:23:00	1	1021	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0
RV-MTY-001	3	21	3021	2024-01-22T21:10:00	2024-01-22T22:56:00	3	1021	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
RV-MTY-001	3	22	3022	2024-01-22T20:26:00	2024-01-22T21:02:00	3	1021	1	0	5	345.49	345.49	0	13.82	0	297.84	297.84	47.65	0	0	248.75	96.74
RV-MTY-001	1	23	3023	2024-01-22T08:41:00	2024-01-22T09:49:00	2	1021	1	0	5	187.76	187.76	0	7.51	0	161.86	161.86	25.9	0	0	148.33	39.43
RV-MTY-001	1	24	3024	2024-01-22T10:26:00	2024-01-22T12:46:00	6	1021	1	0	12	255.1	255.1	0	10.2	0	219.91	219.91	35.19	0	0	153.06	102.04
RV-MTY-001	3	25	3025	2024-01-22T20:19:00	2024-01-22T21:50:00	5	1021	1	0	5	116.56	116.56	0	5.83	11.66	100.48	88.82	16.08	11.66	0	92.08	24.48
RV-MTY-001	3	26	3026	2024-01-22T21:51:00	2024-01-22T23:51:00	6	1022	1	0	6	298.87	0	298.87	17.93	0	257.65	257.65	41.22	0	0	224.15	74.72
RV-MTY-001	1	27	3027	2024-01-22T10:13:00	2024-01-22T11:32:00	5	1021	1	0	9	246.22	0	246.22	12.31	0	212.26	212.26	33.96	0	0	194.51	51.71
RV-MTY-001	3	28	3028	2024-01-22T20:25:00	2024-01-22T22:09:00	4	1022	1	0	11	323.93	0	323.93	16.2	0	279.25	279.25	44.68	0	0	213.79	110.14
RV-MTY-001	3	29	3029	2024-01-22T20:54:00	2024-01-22T21:30:00	1	1021	1	0	12	187.86	0	187.86	7.51	0	161.95	161.95	25.91	0	0	146.53	41.33
RV-MTY-001	2	30	3030	2024-01-22T15:34:00	2024-01-22T17:01:00	2	1022	1	0	8	234.67	0	234.67	14.08	0	202.3	202.3	32.37	0	0	171.31	63.36
RV-MTY-001	1	31	3031	2024-01-22T08:13:00	2024-01-22T10:24:00	1	1022	1	0	9	220.12	220.12	0	8.8	0	189.76	189.76	30.36	0	0	171.69	48.43
RV-MTY-001	1	32	3032	2024-01-22T11:37:00	2024-01-22T13:28:00	6	1021	1	0	8	341.38	0	341.38	20.48	0	294.29	294.29	47.09	0	0	211.66	129.72
RV-MTY-001	2	33	3033	2024-01-22T15:38:00	2024-01-22T16:57:00	5	1021	1	0	3	257.13	0	257.13	7.71	0	221.66	221.66	35.47	0	0	182.56	74.57
RV-MTY-001	3	34	3034	2024-01-22T21:04:00	2024-01-22T22:29:00	1	1021	1	0	4	324.78	0	324.78	19.49	0	279.98	279.98	44.8	0	0	201.36	123.42
RV-MTY-001	3	35	3035	2024-01-22T19:58:00	2024-01-22T21:37:00	2	1021	1	0	6	235.14	0	235.14	16.46	0	202.71	202.71	32.43	0	0	188.11	47.03
